[dotenv@17.2.0] injecting env (0) from .env (tip: ⚙️  load multiple .env files with { path: ['.env.local', '.env'] })
Backend running on http://localhost:3001
info: [object Object] {"timestamp":"2025-07-25T08:05:50.705Z"}
info: [object Object] {"timestamp":"2025-07-25T08:05:53.547Z"}
info: [object Object] {"timestamp":"2025-07-25T08:06:02.653Z"}
info: [object Object] {"timestamp":"2025-07-25T08:08:58.392Z"}
info: [object Object] {"timestamp":"2025-07-25T08:08:58.398Z"}
info: [object Object] {"timestamp":"2025-07-25T08:09:01.297Z"}
info: [object Object] {"timestamp":"2025-07-25T08:09:09.548Z"}
info: [object Object] {"timestamp":"2025-07-25T08:09:18.205Z"}
info: [object Object] {"timestamp":"2025-07-25T08:09:18.208Z"}
info: [object Object] {"timestamp":"2025-07-25T08:09:25.197Z"}
info: [object Object] {"timestamp":"2025-07-25T08:09:31.413Z"}
info: [object Object] {"timestamp":"2025-07-25T08:09:48.120Z"}
info: [object Object] {"timestamp":"2025-07-25T08:09:48.122Z"}
info: [object Object] {"timestamp":"2025-07-25T08:09:48.124Z"}
info: [object Object] {"timestamp":"2025-07-25T08:09:48.126Z"}
info: [object Object] {"timestamp":"2025-07-25T08:09:48.127Z"}
info: [object Object] {"timestamp":"2025-07-25T08:09:48.128Z"}
info: [object Object] {"timestamp":"2025-07-25T08:09:51.208Z"}
info: [object Object] {"timestamp":"2025-07-25T08:09:51.221Z"}
info: [object Object] {"timestamp":"2025-07-25T08:09:54.715Z"}
info: [object Object] {"timestamp":"2025-07-25T08:09:54.726Z"}
info: [object Object] {"timestamp":"2025-07-25T08:09:55.005Z"}
info: [object Object] {"timestamp":"2025-07-25T08:09:57.592Z"}
info: [object Object] {"timestamp":"2025-07-25T08:09:58.071Z"}
info: [object Object] {"timestamp":"2025-07-25T08:09:59.209Z"}
info: [object Object] {"timestamp":"2025-07-25T08:09:59.636Z"}
info: [object Object] {"timestamp":"2025-07-25T08:10:05.455Z"}
info: [object Object] {"timestamp":"2025-07-25T08:10:18.241Z"}
info: [object Object] {"timestamp":"2025-07-25T08:10:18.245Z"}
info: [object Object] {"timestamp":"2025-07-25T08:10:18.248Z"}
info: [object Object] {"timestamp":"2025-07-25T08:10:18.249Z"}
info: [object Object] {"timestamp":"2025-07-25T08:10:18.251Z"}
info: [object Object] {"timestamp":"2025-07-25T08:10:18.253Z"}
info: [object Object] {"timestamp":"2025-07-25T08:10:20.584Z"}
info: [object Object] {"timestamp":"2025-07-25T08:10:20.594Z"}
info: [object Object] {"timestamp":"2025-07-25T08:10:23.779Z"}
info: [object Object] {"timestamp":"2025-07-25T08:10:23.789Z"}
info: [object Object] {"timestamp":"2025-07-25T08:10:24.818Z"}
info: [object Object] {"timestamp":"2025-07-25T08:10:25.397Z"}
info: [object Object] {"timestamp":"2025-07-25T08:10:29.680Z"}
info: [object Object] {"timestamp":"2025-07-25T08:10:30.400Z"}
info: [object Object] {"timestamp":"2025-07-25T08:10:31.376Z"}
info: [object Object] {"timestamp":"2025-07-25T08:10:36.164Z"}
info: [object Object] {"timestamp":"2025-07-25T08:10:40.214Z"}
info: [object Object] {"timestamp":"2025-07-25T08:10:40.217Z"}
info: [object Object] {"timestamp":"2025-07-25T08:10:47.497Z"}
info: [object Object] {"timestamp":"2025-07-25T08:10:51.651Z"}
info: [object Object] {"timestamp":"2025-07-25T08:10:59.742Z"}
info: [object Object] {"timestamp":"2025-07-25T08:10:59.745Z"}
info: [object Object] {"timestamp":"2025-07-25T08:11:02.550Z"}
info: [object Object] {"timestamp":"2025-07-25T08:11:12.917Z"}
info: [object Object] {"timestamp":"2025-07-25T08:11:15.473Z"}
info: [object Object] {"timestamp":"2025-07-25T08:11:15.477Z"}
info: [object Object] {"timestamp":"2025-07-25T08:11:17.913Z"}
info: [object Object] {"timestamp":"2025-07-25T08:11:27.774Z"}
info: [object Object] {"timestamp":"2025-07-25T08:11:37.334Z"}
info: [object Object] {"timestamp":"2025-07-25T08:11:37.337Z"}
info: [object Object] {"timestamp":"2025-07-25T08:11:43.720Z"}
info: [object Object] {"timestamp":"2025-07-25T08:11:43.738Z"}
info: [object Object] {"timestamp":"2025-07-25T08:11:59.251Z"}
info: [object Object] {"timestamp":"2025-07-25T08:11:59.255Z"}
info: [object Object] {"timestamp":"2025-07-25T08:11:59.257Z"}
info: [object Object] {"timestamp":"2025-07-25T08:11:59.259Z"}
info: [object Object] {"timestamp":"2025-07-25T08:11:59.260Z"}
info: [object Object] {"timestamp":"2025-07-25T08:11:59.261Z"}
info: [object Object] {"timestamp":"2025-07-25T08:12:01.742Z"}
info: [object Object] {"timestamp":"2025-07-25T08:12:01.753Z"}
info: [object Object] {"timestamp":"2025-07-25T08:12:06.651Z"}
info: [object Object] {"timestamp":"2025-07-25T08:12:06.661Z"}
info: [object Object] {"timestamp":"2025-07-25T08:12:09.744Z"}
info: [object Object] {"timestamp":"2025-07-25T08:12:09.754Z"}
info: [object Object] {"timestamp":"2025-07-25T08:12:10.153Z"}
info: [object Object] {"timestamp":"2025-07-25T08:12:10.743Z"}
info: [object Object] {"timestamp":"2025-07-25T08:12:11.092Z"}
info: [object Object] {"timestamp":"2025-07-25T08:12:19.251Z"}
info: [object Object] {"timestamp":"2025-07-25T08:15:47.684Z"}
info: [object Object] {"timestamp":"2025-07-25T08:15:47.690Z"}
info: [object Object] {"timestamp":"2025-07-25T08:15:50.844Z"}
info: [object Object] {"timestamp":"2025-07-25T08:16:01.186Z"}
info: [object Object] {"timestamp":"2025-07-25T08:16:04.899Z"}
info: [object Object] {"timestamp":"2025-07-25T08:16:04.903Z"}
info: [object Object] {"timestamp":"2025-07-25T08:16:08.258Z"}
info: [object Object] {"timestamp":"2025-07-25T08:16:16.492Z"}
info: [object Object] {"timestamp":"2025-07-25T08:18:28.333Z"}
info: [object Object] {"timestamp":"2025-07-25T08:18:28.339Z"}
info: [object Object] {"timestamp":"2025-07-25T08:18:37.078Z"}
info: [object Object] {"timestamp":"2025-07-25T08:18:37.962Z"}
info: [object Object] {"timestamp":"2025-07-25T08:18:44.715Z"}
info: [object Object] {"timestamp":"2025-07-25T08:18:44.720Z"}
info: [object Object] {"timestamp":"2025-07-25T08:18:44.722Z"}
info: [object Object] {"timestamp":"2025-07-25T08:18:44.724Z"}
info: [object Object] {"timestamp":"2025-07-25T08:18:44.726Z"}
info: [object Object] {"timestamp":"2025-07-25T08:18:44.728Z"}
info: [object Object] {"timestamp":"2025-07-25T08:18:47.573Z"}
info: [object Object] {"timestamp":"2025-07-25T08:18:47.588Z"}
info: [object Object] {"timestamp":"2025-07-25T08:18:50.931Z"}
info: [object Object] {"timestamp":"2025-07-25T08:18:50.944Z"}
info: [object Object] {"timestamp":"2025-07-25T08:18:51.264Z"}
info: [object Object] {"timestamp":"2025-07-25T08:18:52.384Z"}
info: [object Object] {"timestamp":"2025-07-25T08:18:54.395Z"}
info: [object Object] {"timestamp":"2025-07-25T08:18:56.496Z"}
info: [object Object] {"timestamp":"2025-07-25T08:18:56.510Z"}
info: [object Object] {"timestamp":"2025-07-25T08:19:02.754Z"}
info: [object Object] {"timestamp":"2025-07-25T08:19:08.311Z"}
info: [object Object] {"timestamp":"2025-07-25T08:19:08.315Z"}
info: [object Object] {"timestamp":"2025-07-25T08:19:08.317Z"}
info: [object Object] {"timestamp":"2025-07-25T08:19:08.319Z"}
info: [object Object] {"timestamp":"2025-07-25T08:19:08.320Z"}
